ID , size, flexibility, selection, target, success, time, ,,
154,1,4,8,4,3,0,0.2777111,,
154,1,4,9,4,3,0,0.6184055,,
154,1,4,9,4,4,1,0.3497681,,
154,1,4,9,3,2,0,0.3701111,,
154,1,4,9,3,1,0,0.2718424,,
154,1,4,10,1,1,1,1.579723,,
154,1,4,10,3,2,0,0.4638692,,
154,1,4,10,3,4,0,0.4667932,,
154,1,4,10,3,3,1,0.29082,,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,12,1,9,6,0,0.7947555,,
154,1,12,1,9,2,0,0.3685384,,
154,1,12,1,9,8,0,0.2588919,,
154,1,12,1,9,11,0,0.3115849,,
154,1,12,1,9,12,0,0.2287674,,
154,1,12,1,8,9,0,0.1960688,,
154,1,12,1,9,1,0,0.1638377,,
154,1,12,1,8,10,0,0.1765825,,
154,1,12,1,8,3,0,0.1724842,,
154,1,12,1,8,5,0,0.1720048,,
154,1,12,1,9,4,0,0.2165253,,
154,1,12,1,9,7,0,0.2028057,,
154,1,12,2,9,12,0,0.6551723,,
154,1,12,2,9,5,0,0.2226568,,
154,1,12,2,9,9,1,0.2730086,,
154,1,12,2,9,8,0,0.2146853,,
154,1,12,2,9,1,0,0.2180479,,
154,1,12,2,9,2,0,0.2190553,,
154,1,12,2,9,4,0,0.1815168,,
154,1,12,2,9,3,0,0.2912871,,
154,1,12,2,9,10,0,0.3118714,,
154,1,12,2,9,11,0,0.3437542,,
154,1,12,2,10,7,0,0.2858147,,
154,1,12,2,10,6,0,0.2262901,,
154,1,8,3,7,3,0,0.5193881,,
154,1,8,3,6,7,0,0.2365092,,
154,1,8,3,6,5,0,0.281205,,
154,1,8,3,6,8,0,0.1904809,,
154,1,8,3,6,1,0,0.1767862,,
154,1,8,3,7,6,0,0.2356639,,
154,1,8,3,7,4,0,0.2896273,,
154,1,8,3,6,2,0,0.22603,,
154,1,8,4,7,7,1,0.2859989,,
154,1,8,4,7,1,0,0.2217395,,
154,1,8,4,7,3,0,0.2225854,,
154,1,8,4,7,2,0,0.2412542,,
154,1,8,4,7,6,0,0.2353129,,
154,1,8,4,7,8,0,0.2322379,,
154,1,8,4,7,4,0,0.224496,,
154,1,8,4,7,5,0,0.2712745,,
154,1,4,5,3,1,0,0.3540381,,
154,1,4,5,3,3,1,0.2638143,,
154,1,4,5,3,2,0,0.2396588,,
154,1,4,5,3,4,0,0.2076029,,
154,1,4,6,4,4,1,0.4026157,,
154,1,4,6,4,1,0,0.3298896,,
154,1,4,6,4,2,0,0.4124295,,
154,1,4,6,3,3,1,0.4956176,,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,8,1,1,1,1,0.699177,,
154,1,8,1,5,5,1,0.6418053,,
154,1,8,1,1,8,0,0.6790181,,
154,1,8,1,7,4,0,0.635111,,
154,1,8,1,3,3,1,0.6716597,,
154,1,8,1,6,6,1,0.5856636,,
154,1,8,1,7,7,1,0.8140686,,
154,1,8,1,2,2,1,0.7202631,,
154,1,8,2,3,2,0,0.6388233,,
154,1,8,2,2,1,0,0.5728605,,
154,1,8,2,1,7,0,0.4569951,,
154,1,8,2,7,3,0,0.7152457,,
154,1,8,2,5,4,0,0.5740266,,
154,1,8,2,6,6,1,0.5809693,,
154,1,8,2,6,5,0,0.6497731,,
154,1,8,2,1,8,0,0.7249399,,
154,1,12,3,10,9,0,0.5660388,,
154,1,12,3,10,8,0,0.5302426,,
