date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:08:08 PM,22, 4,12,8,1,1,4, 4, 1, 3.752255
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:08:32 PM,22, 4,12,8,1,1,6, 5, 0, 0.6801612
2019-09-25,11:08:33 PM,22, 4,12,8,1,2,2, 8, 0, 0.2633546
2019-09-25,11:08:36 PM,22, 4,12,8,1,3,6, 6, 1, 1.96847
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:08:47 PM,22, 4,12,12,1,1,10, 8, 0, 0.753801
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:09:07 PM,22, 4,12,4,1,1,3, 3, 1, 2.416182
2019-09-25,11:09:09 PM,22, 4,12,4,1,2,1, 1, 1, 0.9994737
2019-09-25,11:09:11 PM,22, 4,12,4,1,3,1, 2, 0, 0.2251875
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:09:29 PM,22, 4,12,12,1,1,3, 9, 0, 0.5837644
2019-09-25,11:09:39 PM,22, 4,12,12,1,2,4, 6, 0, 1.926003
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:10:06 PM,22, 4,12,8,1,1,2, 3, 0, 0.5610651
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:10:30 PM,22, 4,12,4,1,1,4, 4, 1, 1.41414
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:11:05 PM,22, 4,12,4,1,1,1, 1, 1, 0.722261
2019-09-25,11:11:07 PM,22, 4,12,4,1,2,3, 3, 1, 0.8595678
2019-09-25,11:11:09 PM,22, 4,12,4,1,3,2, 2, 1, 0.7454488
2019-09-25,11:11:10 PM,22, 4,12,4,1,4,4, 4, 1, 0.5410307
2019-09-25,11:11:10 PM,22, 4,12,4,1,4,0, 0, AVERAGE, 0.717077
2019-09-25,11:11:12 PM,22, 4,12,4,2,5,2, 2, 1, 0.6414441
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:12:44 PM,22, 4,12,4,1,1,1, 1, 1, 0.6989941
2019-09-25,11:12:45 PM,22, 4,12,4,1,2,4, 4, 1, 0.6125426
2019-09-25,11:12:46 PM,22, 4,12,4,1,3,3, 3, 1, 0.6601477
2019-09-25,11:12:47 PM,22, 4,12,4,1,4,2, 2, 1, 0.7480994
2019-09-25,11:12:47 PM,22, 4,12,4,1,4,0, 0, AVERAGE, 0.6799459
2019-09-25,11:12:49 PM,22, 4,12,4,2,5,3, 3, 1, 0.6068702
2019-09-25,11:12:50 PM,22, 4,12,4,2,6,4, 4, 1, 0.5755604
2019-09-25,11:12:51 PM,22, 4,12,4,2,7,2, 2, 1, 0.6721655
2019-09-25,11:12:52 PM,22, 4,12,4,2,8,1, 1, 1, 0.5604935
2019-09-25,11:12:52 PM,22, 4,12,4,2,8,0, 0, AVERAGE, 0.6037724
2019-09-25,11:12:55 PM,22, 4,12,4,3,9,4, 4, 1, 0.5934409
2019-09-25,11:12:56 PM,22, 4,12,4,3,10,1, 1, 1, 0.6485802
2019-09-25,11:12:56 PM,22, 4,12,4,3,11,3, 3, 1, 0.4606214
2019-09-25,11:12:57 PM,22, 4,12,4,3,12,2, 2, 1, 0.5303814
2019-09-25,11:12:57 PM,22, 4,12,4,3,12,0, 0, AVERAGE, 0.558256
2019-09-25,11:12:59 PM,22, 4,12,4,4,13,1, 1, 1, 0.772894
2019-09-25,11:13:00 PM,22, 4,12,4,4,14,4, 4, 1, 0.6177266
2019-09-25,11:13:01 PM,22, 4,12,4,4,15,2, 2, 1, 0.6084523
2019-09-25,11:13:02 PM,22, 4,12,4,4,16,3, 3, 1, 0.4964518
2019-09-25,11:13:02 PM,22, 4,12,4,4,16,0, 0, AVERAGE, 0.6238812
2019-09-25,11:13:03 PM,22, 4,12,4,5,17,4, 4, 1, 0.5515215
2019-09-25,11:13:04 PM,22, 4,12,4,5,18,1, 1, 1, 0.5356095
2019-09-25,11:13:05 PM,22, 4,12,4,5,19,3, 3, 1, 0.5155516
2019-09-25,11:13:06 PM,22, 4,12,4,5,20,2, 2, 1, 0.5043297
2019-09-25,11:13:06 PM,22, 4,12,4,5,20,0, 0, AVERAGE, 0.5267531
2019-09-25,11:13:07 PM,22, 4,12,4,6,21,4, 4, 1, 0.6163818
2019-09-25,11:13:08 PM,22, 4,12,4,6,22,2, 2, 1, 0.5066625
2019-09-25,11:13:09 PM,22, 4,12,4,6,23,1, 1, 1, 0.477161
2019-09-25,11:13:10 PM,22, 4,12,4,6,24,3, 3, 1, 0.4291154
2019-09-25,11:13:10 PM,22, 4,12,4,6,24,0, 0, AVERAGE, 0.5073302
2019-09-25,11:13:12 PM,22, 4,12,12,7,25,7, 7, 1, 0.8107721
2019-09-25,11:13:14 PM,22, 4,12,12,7,26,11, 11, 1, 1.599802
2019-09-25,11:13:15 PM,22, 4,12,12,7,27,5, 5, 1, 0.8452375
